subj,freq,ptype,dur,itemN,trial,rt,error,prevRT,prevERR,prevYES,itemERR,subjERR,ID
3,LF,unrel,66ms,78,165,448.3,1,499.8,no,no,12.5,17.7,dj
3,LF,unrel,66ms,79,73,473.3,1,396.9,no,yes,25,17.7,dj
3,LF,unrel,66ms,80,74,389.8,0,,yes,,0,17.7,dj
3,LF,unrel,66ms,81,123,388.4,1,545.5,no,no,37.5,17.7,dj
3,LF,unrel,66ms,82,59,467.2,1,510.8,no,no,42.9,17.7,dj
3,LF,unrel,66ms,83,45,527.1,1,441.2,no,yes,28.6,17.7,dj
3,LF,unrel,66ms,84,184,394.1,1,429.7,no,no,25,17.7,dj
3,HF,unrel,33ms,61,22,436.9,0,455.1,no,yes,0,17.7,dj
3,HF,unrel,33ms,62,30,439.1,0,521.9,no,no,12.5,17.7,dj
3,HF,unrel,33ms,63,85,442.7,1,,yes,,12.5,17.7,dj
3,HF,unrel,33ms,64,149,404.1,0,438.2,no,yes,0,17.7,dj
3,HF,unrel,33ms,65,151,423.2,0,530.1,no,no,0,17.7,dj
3,HF,unrel,33ms,66,158,519,0,521.8,no,no,25,17.7,dj
3,HF,unrel,33ms,67,80,437.8,0,487.9,no,yes,0,17.7,dj
3,HF,unrel,33ms,68,69,486.1,0,496.2,no,yes,0,17.7,dj
3,HF,unrel,33ms,69,110,449,0,483.1,no,yes,12.5,17.7,dj
3,HF,unrel,33ms,70,49,427.1,0,469.2,no,no,0,17.7,dj
3,HF,unrel,33ms,71,60,441.1,0,,yes,,12.5,17.7,dj
3,HF,unrel,33ms,72,188,494.8,0,504.9,no,no,0,17.7,dj
3,LF,unrel,33ms,85,36,542,1,448.2,no,no,50,17.7,dj
3,LF,unrel,33ms,86,17,596.6,0,586.3,no,yes,0,17.7,dj
3,LF,unrel,33ms,87,94,466.7,0,617.8,no,no,12.5,17.7,dj
3,LF,unrel,33ms,88,138,575,0,,yes,,0,17.7,dj
3,LF,unrel,33ms,89,140,479.2,1,514,no,yes,12.5,17.7,dj
3,LF,unrel,33ms,90,172,458.9,1,421.1,no,no,25,17.7,dj
3,LF,unrel,33ms,91,83,432.4,0,,yes,,0,17.7,dj
3,LF,unrel,33ms,92,62,436.9,0,438.9,no,yes,0,17.7,dj
3,LF,unrel,33ms,93,125,550.8,0,488.9,no,no,0,17.7,dj
3,LF,unrel,33ms,94,44,441.2,0,483.4,no,yes,0,17.7,dj
3,LF,unrel,33ms,95,39,434.8,1,,yes,,12.5,17.7,dj
3,LF,unrel,33ms,96,194,635.6,0,679.3,no,no,12.5,17.7,dj
4,HF,rel,66ms,1,101,835,0,828.2,no,no,0,5.2,cc
4,HF,rel,66ms,2,98,696,0,834,no,yes,0,5.2,cc
4,HF,rel,66ms,3,29,758.7,0,1508.2,no,no,12.5,5.2,cc
4,HF,rel,66ms,4,47,771.9,0,,yes,,0,5.2,cc
4,HF,rel,66ms,5,60,535.8,0,647.3,no,yes,0,5.2,cc
4,HF,rel,66ms,6,154,1029.7,0,1064.9,no,yes,0,5.2,cc
4,HF,rel,66ms,7,158,669.6,0,822.8,no,yes,0,5.2,cc
4,HF,rel,66ms,8,161,868.3,0,996.6,no,no,0,5.2,cc
4,HF,rel,66ms,9,82,771.5,0,895.5,no,yes,12.5,5.2,cc
4,HF,rel,66ms,10,112,814.5,0,999.5,no,no,12.5,5.2,cc
4,HF,rel,66ms,11,130,644.1,0,795.8,no,yes,0,5.2,cc
4,HF,rel,66ms,12,200,787.2,0,861.9,no,yes,0,5.2,cc
4,LF,rel,66ms,25,89,1131,0,1697.4,no,yes,0,5.2,cc
4,LF,rel,66ms,26,94,654.2,0,739.8,no,yes,0,5.2,cc
4,LF,rel,66ms,27,30,1520.3,1,758.7,no,yes,50,5.2,cc
4,LF,rel,66ms,28,59,647.3,0,733,no,yes,0,5.2,cc
4,LF,rel,66ms,29,51,1061.3,0,739,no,yes,0,5.2,cc
4,LF,rel,66ms,30,151,2267,1,920.5,no,no,14.3,5.2,cc
4,LF,rel,66ms,31,163,754.7,0,978.4,no,yes,12.5,5.2,cc
4,LF,rel,66ms,32,180,1141,0,,yes,,12.5,5.2,cc
4,LF,rel,66ms,33,83,604.5,0,771.5,no,yes,0,5.2,cc
4,LF,rel,66ms,34,113,1173.3,0,814.5,no,yes,0,5.2,cc
