subj,freq,ptype,dur,itemN,rt,error,ID
4,LF,rel,33ms,45,753.6,0,cc
4,LF,rel,33ms,46,888.9,0,cc
4,LF,rel,33ms,47,974.1,0,cc
4,LF,rel,33ms,48,934.4,0,cc
4,HF,unrel,66ms,49,767.7,0,cc
4,HF,unrel,66ms,50,916.1,0,cc
4,HF,unrel,66ms,51,1109.1,0,cc
4,HF,unrel,66ms,52,768.5,0,cc
4,HF,unrel,66ms,53,828,0,cc
4,HF,unrel,66ms,54,853.4,0,cc
4,HF,unrel,66ms,55,801.3,0,cc
4,HF,unrel,66ms,56,977.3,0,cc
4,HF,unrel,66ms,57,1217,0,cc
4,HF,unrel,66ms,58,661,0,cc
4,HF,unrel,66ms,59,758.3,0,cc
4,HF,unrel,66ms,60,716.8,0,cc
4,LF,unrel,66ms,73,2148.2,1,cc
4,LF,unrel,66ms,74,720.6,0,cc
4,LF,unrel,66ms,75,2123.4,1,cc
4,LF,unrel,66ms,76,1439.6,1,cc
4,LF,unrel,66ms,77,797.3,0,cc
4,LF,unrel,66ms,78,1130.9,0,cc
4,LF,unrel,66ms,79,1035,0,cc
4,LF,unrel,66ms,80,950.5,0,cc
4,LF,unrel,66ms,81,1019.8,0,cc
4,LF,unrel,66ms,82,1785.1,1,cc
4,LF,unrel,66ms,83,1503.7,1,cc
4,LF,unrel,66ms,84,861.9,0,cc
4,HF,unrel,33ms,61,834,0,cc
4,HF,unrel,33ms,62,945.4,0,cc
4,HF,unrel,33ms,63,1123.2,0,cc
4,HF,unrel,33ms,64,739,0,cc
4,HF,unrel,33ms,65,1217,0,cc
4,HF,unrel,33ms,66,1533.3,1,cc
4,HF,unrel,33ms,67,978.4,0,cc
4,HF,unrel,33ms,68,636.5,0,cc
4,HF,unrel,33ms,69,895.5,0,cc
4,HF,unrel,33ms,70,795.8,0,cc
4,HF,unrel,33ms,71,900.3,0,cc
4,HF,unrel,33ms,72,692.9,0,cc
4,LF,unrel,33ms,85,808.1,0,cc
4,LF,unrel,33ms,86,791.8,0,cc
4,LF,unrel,33ms,87,1162.3,0,cc
4,LF,unrel,33ms,88,898,0,cc
4,LF,unrel,33ms,89,1217,0,cc
4,LF,unrel,33ms,90,1086,0,cc
4,LF,unrel,33ms,91,863.9,0,cc
4,LF,unrel,33ms,92,928.6,0,cc
4,LF,unrel,33ms,93,1009.3,0,cc
4,LF,unrel,33ms,94,1030.5,0,cc
4,LF,unrel,33ms,95,769.5,0,cc
4,LF,unrel,33ms,96,918.9,0,cc
5,HF,rel,66ms,1,541.2,0,cn
5,HF,rel,66ms,2,482.2,0,cn
5,HF,rel,66ms,3,509.2,0,cn
5,HF,rel,66ms,4,544.4,0,cn
5,HF,rel,66ms,5,499.9,0,cn
5,HF,rel,66ms,6,744.4,0,cn
5,HF,rel,66ms,7,576.7,0,cn
5,HF,rel,66ms,8,519.7,0,cn
5,HF,rel,66ms,9,541.1,0,cn
5,HF,rel,66ms,10,527.2,0,cn
5,HF,rel,66ms,11,626.2,0,cn
5,HF,rel,66ms,12,542.1,0,cn
5,LF,rel,66ms,25,595.9,0,cn
5,LF,rel,66ms,26,503.8,0,cn
5,LF,rel,66ms,27,739,1,cn
5,LF,rel,66ms,28,600.3,0,cn
5,LF,rel,66ms,29,526,0,cn
5,LF,rel,66ms,30,686.4,0,cn
5,LF,rel,66ms,31,1029.1,1,cn
5,LF,rel,66ms,32,562.2,0,cn
5,LF,rel,66ms,33,683.3,0,cn
5,LF,rel,66ms,34,665.8,0,cn
5,LF,rel,66ms,35,535,0,cn
5,LF,rel,66ms,36,557.9,0,cn
5,HF,rel,33ms,13,660.2,0,cn
5,HF,rel,33ms,14,502.4,0,cn
5,HF,rel,33ms,15,737.6,0,cn
5,HF,rel,33ms,16,528.1,0,cn
5,HF,rel,33ms,17,689.4,0,cn
5,HF,rel,33ms,18,880.1,0,cn
5,HF,rel,33ms,19,684.2,0,cn
5,HF,rel,33ms,20,586.3,0,cn
5,HF,rel,33ms,21,617.9,0,cn
5,HF,rel,33ms,22,521.4,0,cn
5,HF,rel,33ms,23,494,0,cn
5,HF,rel,33ms,24,482.2,0,cn
5,LF,rel,33ms,37,718.6,1,cn
5,LF,rel,33ms,38,669.6,0,cn
5,LF,rel,33ms,39,650.3,0,cn
5,LF,rel,33ms,40,671.9,0,cn
5,LF,rel,33ms,41,622.6,0,cn
5,LF,rel,33ms,42,880.1,0,cn
5,LF,rel,33ms,43,614,0,cn
5,LF,rel,33ms,44,892.5,1,cn
5,LF,rel,33ms,45,500.9,1,cn
5,LF,rel,33ms,46,643.1,0,cn
5,LF,rel,33ms,47,503.2,0,cn
5,LF,rel,33ms,48,572.5,0,cn
5,HF,unrel,66ms,49,554.9,0,cn
5,HF,unrel,66ms,50,616.9,0,cn
5,HF,unrel,66ms,51,620,1,cn
5,HF,unrel,66ms,52,562.9,0,cn
5,HF,unrel,66ms,53,536.5,0,cn
5,HF,unrel,66ms,54,854.4,0,cn
5,HF,unrel,66ms,55,568.6,0,cn
5,HF,unrel,66ms,56,571.1,0,cn
5,HF,unrel,66ms,57,536.2,1,cn
5,HF,unrel,66ms,58,493.3,0,cn
5,HF,unrel,66ms,59,466.4,0,cn
5,HF,unrel,66ms,60,516.3,0,cn
5,LF,unrel,66ms,73,707.9,0,cn
5,LF,unrel,66ms,74,548,0,cn
5,LF,unrel,66ms,75,1058.7,1,cn
5,LF,unrel,66ms,76,798,1,cn
5,LF,unrel,66ms,77,539.5,0,cn
5,LF,unrel,66ms,78,683.9,0,cn
5,LF,unrel,66ms,79,659.6,0,cn
5,LF,unrel,66ms,80,590.4,0,cn
5,LF,unrel,66ms,81,585.3,1,cn
5,LF,unrel,66ms,82,618,0,cn
5,LF,unrel,66ms,83,615,0,cn
5,LF,unrel,66ms,84,639.8,0,cn
5,HF,unrel,33ms,61,734.5,0,cn
5,HF,unrel,33ms,62,561.6,0,cn
5,HF,unrel,33ms,63,649.8,0,cn
5,HF,unrel,33ms,64,547.2,0,cn
5,HF,unrel,33ms,65,677.6,0,cn
5,HF,unrel,33ms,66,673.2,0,cn
5,HF,unrel,33ms,67,627,0,cn
5,HF,unrel,33ms,68,582.8,0,cn
5,HF,unrel,33ms,69,583.5,0,cn
5,HF,unrel,33ms,70,621.1,0,cn
5,HF,unrel,33ms,71,538.2,0,cn
5,HF,unrel,33ms,72,561.8,0,cn
5,LF,unrel,33ms,85,652.3,1,cn
5,LF,unrel,33ms,86,521,0,cn
5,LF,unrel,33ms,87,744.3,1,cn
5,LF,unrel,33ms,88,640,0,cn
5,LF,unrel,33ms,89,577.9,0,cn
5,LF,unrel,33ms,90,770.6,0,cn
5,LF,unrel,33ms,91,775.6,0,cn
5,LF,unrel,33ms,92,590.1,0,cn
5,LF,unrel,33ms,93,499.6,0,cn
5,LF,unrel,33ms,94,650.8,0,cn
5,LF,unrel,33ms,95,515.2,0,cn
5,LF,unrel,33ms,96,716,0,cn
6,HF,rel,66ms,1,430.5,0,jh
6,HF,rel,66ms,2,521.8,0,jh
6,HF,rel,66ms,3,461.3,0,jh
6,HF,rel,66ms,4,486.2,0,jh
6,HF,rel,66ms,5,601,0,jh
6,HF,rel,66ms,6,559.7,0,jh
6,HF,rel,66ms,7,466,0,jh
6,HF,rel,66ms,8,621.5,0,jh
6,HF,rel,66ms,9,523.4,0,jh
6,HF,rel,66ms,10,602,0,jh
6,HF,rel,66ms,11,629.6,0,jh
6,HF,rel,66ms,12,492,0,jh
6,LF,rel,66ms,25,469.1,0,jh
6,LF,rel,66ms,26,543.3,0,jh
6,LF,rel,66ms,27,687,1,jh
6,LF,rel,66ms,28,454.5,0,jh
6,LF,rel,66ms,29,405.4,0,jh
6,LF,rel,66ms,30,637.4,0,jh
6,LF,rel,66ms,31,526.1,0,jh
6,LF,rel,66ms,32,620.4,0,jh
6,LF,rel,66ms,33,616.1,0,jh
